0,1,2,3,4,5,6,7,8,9
COL1A1,COL1A1,S100A9,FOXA1,ANP32E,KRT13,IGHG4,SERF1A,SERF1A,KRT16
IGKC,COL3A1,S100A8,NPM2,SERF1A,KRT4,DEPRECATED_ENSG00000211892,DEPRECATED_ENSG00000170345,TPM2,KRT14
ACTB,IGF1,KRT13,KIAA1324,ALDOA,KRT5,IGLC3,FOS,COL1A2,SFN
COL1A2,SPARC,DEPRECATED_ENSG00000211890,PTPRT,FAM153B,IL20RB,IGHG1,SFRP4,PTGDS,PDZK1IP1
COL3A1,COL1A2,IGKC,SCNN1B,SLC25A5,LSP1,IGHV3OR16-13,COL1A1,COL3A1,KRT5
IGLC2,SFRP4,KRT14,ALPL,TRADD,IFI6,IGKV4-1,COL3A1,IGFBP4,S100A9
TMSB4X,VCAN,IGHG1,BAALC,ADAM9,ALDH3A1,IGKC,IGKV1D-12,DCN,ECM1
FTL,IGFBP5,IGLC3,PRR15L,ARL6IP1,LY6D,IGHG2,COL1A2,ACTA2,S100A8
IGKV1D-12,COL5A1,IGKV3OR2-268,DEGS2,AKR1A1,APOL1,TENT5C,MMP11,C1R,SPRR1A
IGHG1,MMP11,KRT5,GDF15,LRATD1,POU2AF1,IGLC1,TMSB4X,PCOLCE,RHCG
