cluster,barcode
2,0
3,1
9,2
7,3
6,4
2,5
0,6
0,7
7,8
8,9
2,10
4,11
0,12
2,13
1,14
8,15
2,16
9,17
7,18
2,19
1,20
2,21
7,22
8,23
5,24
8,25
9,26
0,27
8,28
3,29
1,30
7,31
0,32
7,33
0,34
2,35
5,36
2,37
4,38
7,39
0,40
8,41
6,42
3,43
2,44
2,45
0,46
5,47
0,48
0,49
1,50
1,51
6,52
4,53
1,54
1,55
3,56
2,57
8,58
7,59
1,60
4,61
7,62
0,63
6,64
3,65
5,66
0,67
1,68
2,69
9,70
1,71
0,72
6,73
1,74
4,75
0,76
2,77
9,78
9,79
0,80
4,81
0,82
0,83
1,84
5,85
2,86
5,87
0,88
5,89
1,90
1,91
8,92
3,93
6,94
7,95
2,96
0,97
0,98
9,99
7,100
4,101
5,102
7,103
0,104
0,105
2,106
0,107
3,108
9,109
6,110
1,111
5,112
2,113
4,114
4,115
3,116
6,117
7,118
0,119
3,120
5,121
6,122
6,123
0,124
0,125
6,126
3,127
1,128
3,129
1,130
9,131
4,132
0,133
0,134
5,135
4,136
2,137
0,138
1,139
9,140
4,141
3,142
4,143
6,144
2,145
5,146
1,147
1,148
2,149
0,150
5,151
5,152
2,153
5,154
6,155
3,156
7,157
2,158
9,159
6,160
7,161
6,162
4,163
0,164
7,165
0,166
5,167
2,168
3,169
3,170
1,171
7,172
1,173
0,174
0,175
3,176
1,177
1,178
0,179
3,180
0,181
6,182
0,183
8,184
2,185
7,186
0,187
1,188
0,189
1,190
1,191
9,192
5,193
3,194
3,195
4,196
4,197
4,198
7,199
1,200
0,201
0,202
7,203
6,204
1,205
9,206
5,207
1,208
1,209
6,210
2,211
2,212
0,213
0,214
1,215
0,216
0,217
3,218
8,219
6,220
7,221
0,222
5,223
8,224
1,225
7,226
0,227
5,228
0,229
0,230
0,231
0,232
1,233
1,234
2,235
6,236
0,237
4,238
0,239
5,240
7,241
3,242
3,243
0,244
0,245
0,246
4,247
5,248
2,249
0,250
8,251
1,252
4,253
5,254
0,255
8,256
0,257
4,258
0,259
1,260
0,261
2,262
0,263
4,264
5,265
6,266
6,267
3,268
6,269
6,270
2,271
2,272
4,273
7,274
0,275
0,276
8,277
0,278
3,279
1,280
7,281
2,282
3,283
0,284
6,285
7,286
2,287
8,288
4,289
1,290
1,291
0,292
7,293
0,294
6,295
5,296
7,297
2,298
0,299
2,300
8,301
3,302
4,303
6,304
3,305
4,306
0,307
2,308
3,309
3,310
8,311
6,312
1,313
0,314
0,315
1,316
9,317
0,318
2,319
1,320
2,321
1,322
3,323
5,324
2,325
1,326
9,327
7,328
2,329
1,330
4,331
5,332
5,333
2,334
2,335
7,336
5,337
1,338
1,339
9,340
1,341
0,342
3,343
1,344
0,345
0,346
5,347
5,348
4,349
5,350
2,351
0,352
3,353
8,354
2,355
0,356
6,357
2,358
7,359
5,360
2,362
4,363
3,364
1,365
2,367
1,368
5,369
9,370
0,371
1,372
2,373
1,374
0,375
0,376
6,377
9,378
6,379
8,380
4,381
5,382
0,383
3,384
5,385
3,386
8,387
1,388
6,389
1,390
2,391
2,392
9,393
9,394
2,395
3,396
1,397
2,398
3,399
2,400
1,401
0,402
1,403
4,404
0,405
0,406
3,407
0,408
3,409
3,410
7,411
0,412
4,413
2,414
7,415
0,416
1,417
6,418
5,419
6,420
5,421
5,422
7,423
8,424
1,425
8,426
0,427
0,428
3,429
3,430
1,431
0,432
3,433
7,434
6,435
7,436
0,437
9,438
0,439
1,440
1,441
7,442
4,444
4,445
7,446
0,447
2,448
0,449
0,450
0,451
0,452
5,453
5,454
2,455
7,456
4,457
2,458
6,459
0,460
6,461
1,462
3,463
5,464
0,465
6,466
2,467
4,468
3,469
8,470
5,471
0,472
9,473
3,474
7,475
1,476
0,477
3,478
2,479
0,480
2,481
3,482
0,483
9,484
0,485
4,486
7,487
4,488
6,489
3,490
1,491
8,492
1,493
5,494
7,495
0,496
6,497
0,498
7,499
0,500
7,501
5,502
0,503
3,504
8,505
3,506
2,507
7,508
2,509
7,510
5,511
9,512
3,513
7,514
0,515
0,516
5,517
4,518
0,519
0,520
0,521
5,522
0,523
2,524
6,525
0,526
7,527
4,528
0,529
0,530
8,531
6,532
1,533
2,534
4,535
7,536
5,537
0,538
5,539
8,540
6,541
5,542
7,543
0,544
0,545
3,546
6,547
8,548
3,549
8,550
2,551
7,552
3,553
0,554
1,555
2,556
3,557
5,558
0,559
4,560
1,561
4,562
1,563
9,564
0,565
5,566
4,567
0,568
2,569
0,570
3,571
3,572
5,573
1,574
1,575
5,576
9,577
6,578
3,579
5,580
1,581
9,582
3,583
1,584
3,585
7,586
8,587
0,588
3,589
4,590
1,591
9,592
7,593
4,594
8,595
2,596
4,597
0,598
3,599
7,600
1,601
2,602
7,603
0,604
7,605
0,606
3,607
7,608
1,609
0,610
7,611
0,612
1,613
4,614
0,615
0,616
0,617
2,618
3,619
4,620
2,621
0,622
5,623
7,624
4,625
3,626
5,627
3,628
2,629
1,630
0,631
0,632
2,633
2,634
4,635
0,636
0,637
3,638
0,639
0,640
0,641
0,642
6,643
5,644
4,645
0,646
3,647
2,648
9,649
3,650
4,651
0,653
2,654
2,655
3,656
0,657
0,658
6,659
7,660
5,661
1,662
8,663
6,664
1,665
0,666
5,667
6,668
3,669
0,670
0,671
2,672
1,673
2,674
7,675
8,676
1,677
0,678
0,679
1,680
0,681
1,682
3,683
0,684
4,685
8,686
1,687
0,688
5,689
0,690
4,691
8,692
6,693
8,694
0,695
0,696
0,697
0,698
0,699
5,700
0,701
4,702
6,703
0,704
2,705
2,706
0,707
0,708
0,709
7,710
3,711
5,712
5,713
0,714
2,715
0,716
8,717
3,718
4,719
7,720
8,721
0,722
5,723
8,724
2,725
6,726
0,727
5,728
5,729
1,730
2,731
0,732
0,733
8,734
6,736
6,737
7,738
3,739
6,740
1,741
6,742
3,743
1,744
6,745
6,746
2,747
0,748
9,749
2,750
0,751
0,752
0,753
2,754
0,755
8,756
1,757
5,758
0,759
6,760
6,761
2,762
4,763
4,764
1,766
3,767
3,768
0,769
0,770
4,771
9,772
2,773
0,774
1,775
4,776
3,777
0,778
3,779
0,780
5,781
0,782
0,783
8,784
0,785
7,786
6,787
4,788
8,789
3,790
0,791
6,792
9,793
1,794
0,795
4,796
5,797
0,798
0,799
5,800
1,801
0,802
5,803
1,804
0,805
0,806
3,807
2,808
2,809
0,810
3,811
3,812
5,813
5,814
0,815
3,816
1,817
4,818
0,819
5,820
0,821
1,822
0,823
8,824
0,825
0,826
4,827
7,828
6,829
1,830
9,831
0,832
0,834
5,835
7,836
8,837
4,838
2,839
2,840
1,841
9,842
3,843
8,844
2,845
6,846
6,847
5,848
4,849
0,850
2,851
0,852
4,853
0,854
3,855
1,856
1,857
5,858
4,859
0,860
3,861
6,862
6,863
7,864
0,865
1,866
4,867
0,868
3,869
8,870
4,871
0,872
4,873
0,874
3,875
6,876
8,877
1,878
6,879
1,880
0,881
1,882
3,883
9,884
0,885
4,886
1,887
3,888
1,889
3,890
4,891
3,892
0,893
3,894
8,895
0,896
2,897
0,898
0,899
6,900
2,901
3,902
3,903
1,904
0,905
2,906
0,907
6,908
2,910
0,911
1,912
1,913
2,914
5,915
8,916
7,917
3,918
0,919
4,920
5,921
3,922
3,923
0,924
9,925
3,926
4,927
1,928
9,929
7,930
1,931
6,932
2,933
0,934
3,935
2,936
1,937
1,938
3,939
3,940
1,941
4,942
4,943
8,944
7,945
1,946
7,947
9,948
5,949
9,950
0,951
2,952
6,953
3,954
4,955
2,956
0,957
9,958
1,959
0,960
6,961
2,962
3,963
1,964
8,965
1,966
5,967
2,968
1,969
0,970
1,971
3,972
5,973
1,974
2,975
8,976
0,977
0,978
0,979
6,980
2,981
3,982
6,983
1,984
9,985
3,986
3,987
8,988
1,989
8,990
7,991
0,992
7,993
1,994
7,995
1,996
9,997
4,998
6,999
3,1000
0,1001
8,1002
1,1003
2,1004
2,1005
7,1006
1,1007
5,1008
4,1009
0,1010
3,1011
3,1012
7,1013
0,1014
0,1015
3,1016
7,1017
1,1018
7,1019
5,1020
0,1021
1,1022
1,1023
0,1024
4,1025
6,1026
1,1027
0,1028
0,1029
4,1030
2,1031
1,1032
7,1033
4,1034
0,1035
2,1036
4,1037
9,1038
2,1039
1,1040
3,1041
7,1042
0,1043
0,1044
1,1045
0,1046
3,1047
9,1048
0,1049
1,1050
5,1051
2,1052
5,1053
1,1054
0,1055
6,1056
4,1057
